session_urlr_id,link_id,code,mathadata_id,mathadata_title,resource_slug,start,end,sy,date,active_hours,clicks,n_visiteurs_uniques_urlr,usage_classe_estime,seance_riche_estimee,grande_classe_estimee,capytale_observable,n_sessions_capytale_simultanees,max_eleves_capytale_simultanes,mode_historique,n_sessions_capytale_pm1h,max_eleves_capytale_pm1h,mode_sensibilite_pm1h,mode_exploratoire_clics,indeterminate_reason,nat_suspect
U0001,0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2025-12-25 14:00:00+01:00,2025-12-25 15:00:00+01:00,2025-2026,2025-12-25,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale,False
U0037,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2025-12-25 19:00:00+01:00,2025-12-25 22:00:00+01:00,2025-2026,2025-12-25,2,4,2,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale,False
U0014,3231d7db-d3b8-4957-8bae-53db8691bbba,cNQxSu,6944347,MathAData - Statistiques pour surveiller la santé de foetus - 2nde,stats-moyenne-histogramme-fetal,2026-01-01 10:00:00+01:00,2026-01-01 11:00:00+01:00,2025-2026,2026-01-01,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale,False
U0198,e863593d-1634-433a-9412-38d5f4cd06f3,TSD4cy,5862412,MathAData - Droite et produit scalaire pour la classification d'images - 1ere,geometry1eredroiteproduitscalaire-mnist,2026-01-01 13:00:00+01:00,2026-01-01 14:00:00+01:00,2025-2026,2026-01-01,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale,False
U0038,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-02 16:00:00+01:00,2026-01-02 17:00:00+01:00,2025-2026,2026-01-02,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale,False
U0002,0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2026-01-04 18:00:00+01:00,2026-01-04 19:00:00+01:00,2025-2026,2026-01-04,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale,False
U0039,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-07 15:00:00+01:00,2026-01-07 16:00:00+01:00,2025-2026,2026-01-07,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale,False
U0143,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-01-07 17:00:00+01:00,2026-01-07 19:00:00+01:00,2025-2026,2026-01-07,2,20,17,True,True,False,True,0,0,compatible_remplacement,0,0,compatible_remplacement,compatible_remplacement,,False
U0040,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-08 19:00:00+01:00,2026-01-08 20:00:00+01:00,2025-2026,2026-01-08,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale,False
U0041,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-09 13:00:00+01:00,2026-01-09 14:00:00+01:00,2025-2026,2026-01-09,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale,False
U0144,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-01-10 00:00:00+01:00,2026-01-10 01:00:00+01:00,2025-2026,2026-01-10,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale,False
U0145,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-01-11 16:00:00+01:00,2026-01-11 17:00:00+01:00,2025-2026,2026-01-11,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale,False
U0015,3231d7db-d3b8-4957-8bae-53db8691bbba,cNQxSu,6944347,MathAData - Statistiques pour surveiller la santé de foetus - 2nde,stats-moyenne-histogramme-fetal,2026-01-12 08:00:00+01:00,2026-01-12 09:00:00+01:00,2025-2026,2026-01-12,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale,False
U0146,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-01-12 09:00:00+01:00,2026-01-12 10:00:00+01:00,2025-2026,2026-01-12,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale,False
U0133,b7c1fd64-4280-4af2-9e78-4880a6a88c84,e9tZ56,6659633,"MathAData- Géométrie repérée, milieu, distance, pour la classification d'images de chiffres - 2nde",geometry2ndemilieudistance-mnist,2026-01-12 12:00:00+01:00,2026-01-12 13:00:00+01:00,2025-2026,2026-01-12,1,1,1,False,False,False,True,0,0,indetermine,1,25,compatible_depannage,indetermine,petite_salve_sans_capytale,False
U0199,e863593d-1634-433a-9412-38d5f4cd06f3,TSD4cy,5862412,MathAData - Droite et produit scalaire pour la classification d'images - 1ere,geometry1eredroiteproduitscalaire-mnist,2026-01-12 14:00:00+01:00,2026-01-12 15:00:00+01:00,2025-2026,2026-01-12,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale,False
